"country_name","country_code","x1990","x1991","x1992","x1993","x1994","x1995","x1996","x1997","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013","x2014"
"Japan","JPN",40.7908206216803,40.8830967408953,40.7620765910369,40.5575163585962,40.515565173173,40.4779533237999,40.4992929617879,40.6870729905827,40.7303971868504,40.5785625027943,40.6725340849738,40.8044369576587,40.7860496086091,40.9895056527963,41.1099687186909,41.2816900182464,41.3649191195005,41.3952977694955,41.5447156309236,41.9359044121918,42.4790335619285,42.0735223318317,42.2281985186366,42.6377704709287,42.7076465918193
"Jordan","JOR",10.9853951720184,11.0214868962778,11.7346311295395,12.1767367955697,12.6994482663324,13.172300027555,13.370041459429,13.637865262704,13.8315202797453,14.058009322777,14.2815511217663,13.890425538798,14.7771639160084,13.9981575748367,13.0890754374638,14.5151299605821,15.0463103374207,17.5046510785563,17.1129019539813,17.6390096951439,17.8049903977926,18.005100985731,17.9479556570328,18.2000679935844,18.3731965025274
"Kazakhstan","KAZ",47.0287115194295,47.0919139137051,47.1762449790721,47.2794093460099,47.4727258507265,47.6844274704824,47.9344270256911,48.2751330542525,48.6840953204321,48.9348652378498,49.2335458950509,49.2856714379381,49.3889805548514,49.3111028878004,49.0671621694404,49.181949190407,49.3044743149148,49.3603809046,49.5623839056155,49.4725097487766,49.3897673768897,49.4076541501607,49.3508732293407,49.2999003258978,49.3224417085541
"Kenya","KEN",47.268529354821,47.2408097235118,47.2102225958533,47.1066372874859,47.0670658999454,47.0226988060854,46.9729116494209,46.9194533583412,46.861692714235,46.7991132074081,46.731898912228,46.7273126612282,46.645081693643,46.5680736847622,46.5714966019214,46.5109172638792,46.5120046275219,46.447370189101,46.4626245592402,46.4782567396017,46.4928357409114,46.4346706653776,46.4509297530718,46.4611451211813,46.5411936347344
"Korea, Dem. People’s Rep.","PRK",48.9052654495436,48.7736512536329,48.5356170151597,48.4352210039834,48.2805781408042,48.1854739326272,48.1078462245075,48.0320153814387,48.0196683149837,47.9363581855014,47.9724385199638,47.9420691747762,47.9000680953542,47.9189084219191,47.9977640115494,48.0192506506907,47.9765572712605,48.0641155449013,48.0932987477081,48.0045803855282,48.0321976533017,48.0052562888865,47.9160366396028,47.8880063825598,47.8659976897278
"Korea, Rep.","KOR",39.6543080367628,39.4636043378788,39.256394145557,39.3276355707178,39.4782191318378,39.7937707747305,40.0109614167107,40.5392198151958,39.4690291720419,39.9388693000571,40.5067838421419,40.6760827378582,40.7587513104904,40.4283301416758,40.8730929665464,41.1211809099592,41.3808033051746,41.4067064538837,41.5148249161492,41.2470063740754,41.428711733712,41.4535575485982,41.5746830550132,41.5959233275872,41.5878310967779
"Kuwait","KWT",26.8293303674822,26.6334260501022,23.1267715907777,23.0020051007195,23.6025660148792,23.2839972446523,23.3365779533824,23.7262613335167,24.3242801257349,24.8670171469133,25.2715993182227,25.4655894814269,25.5856922964735,25.6478873239437,25.4096612976452,25.2675185796424,25.4398906808591,25.6263370869151,25.8648221793475,26.4441783998434,26.6808171425318,26.943743348845,27.0805005826575,27.0923955836524,27.1552680091964
"Kyrgyz Republic","KGZ",46.080345660208,45.9319507682582,45.8499319315719,45.6997380762067,45.5468474467886,45.4820877444488,45.2805804936565,45.1677749602371,45.0496814824664,44.8483174061265,44.6365626938182,44.4575095112309,44.1920746008218,43.6057514760421,43.1760672819534,42.7988363774102,42.5549146824519,42.5472959665821,42.6848136998301,42.6702749837654,42.7303139932145,42.6743879579577,42.6192080802256,42.5599901370723,42.5683386015454
"Lao PDR","LAO",49.7610924332287,49.8639364424151,49.9228427304284,50.0491312633973,50.1679938029057,50.2710512184519,50.2815941666036,50.2774833198229,50.2076654021052,50.2147063867513,50.2436750486916,50.3361596445798,50.4493989162991,50.6293692683762,50.7234310538984,50.7821415606903,50.7527162908442,50.7587768488158,50.6163948126165,50.4727718115111,50.4022832131378,50.2814682957261,50.1650988446503,50.0546915192048,49.9475799586976
"Latvia","LVA",49.666514972366,49.2774108002828,48.9793782598025,48.6724963430075,48.329578649305,48.0193389343632,47.62922710197,48.452399785268,48.2247015071443,47.5672387317897,48.0329357809096,48.7741694628199,48.6878376108425,48.7758484481483,48.2306562586387,48.5153407385714,48.5289206874747,48.8669095926583,49.1135725210508,49.9154856792188,50.3470029170271,50.0328973947572,49.9429242763665,49.9464635281588,49.942744906612
"Lebanon","LBN",20.1536083252639,20.3591784090214,20.6922197989934,21.1374815688587,21.3971346378422,21.6682090728867,21.9020394963172,21.9979099272085,22.1754341113618,22.1252772983084,22.1494928716546,21.8150363072722,21.5980236906022,21.4610828604029,21.3300507034942,21.4221241449263,21.6430546952914,21.9740674138687,22.1696180347608,22.502689082258,22.8749497568588,23.303459597495,23.695066060862,24.1323542313332,24.5446669399115
"Lesotho","LSO",47.8216486528154,47.6420873816819,47.3983953609017,47.3298768722305,47.2266558907124,47.3814451483889,47.6057920181393,48.0284540381431,48.333541207611,48.836585629309,48.797408137503,48.5309803765196,48.2775941044614,47.9870727720261,47.6848147110588,47.319878922892,47.098021679022,46.7434251918963,46.3904977227631,46.3498555201461,46.2361875511826,46.0396826060419,45.8551183792277,45.8218054922823,45.6465409625519
"Liberia","LBR",47.190666081,47.3773250857905,47.6461329009814,48.0726152766774,48.2405987624283,48.4811470450576,48.5248638496388,48.642284944224,48.8413263901607,48.8753545177219,48.9152405744573,48.8868524450014,48.8620080642474,48.7529060267961,48.7254723679485,48.531086454632,48.3422642575059,47.9871001665638,47.7980483598674,47.7740956896846,47.6672085859841,47.6451908599177,47.540212110387,47.4342348649691,47.4085931774708
"Libya","LBY",17.1970923455511,17.8455510806484,18.473435003457,19.2264495801643,19.9307761852975,20.7733500703364,21.6003122362655,22.5534718006401,23.3969977195283,24.2785523404969,24.9732461033545,25.5893301058597,25.9323344737636,26.374784268305,26.6323033014143,26.8840670554205,27.0927722432834,27.1536000639219,27.2659392662388,27.3481239615984,27.3137221563821,27.5396499733808,27.8915984562534,28.1071007057093,28.364735306557
"Lithuania","LTU",48.051601718304,47.9418265892037,47.7613143674847,47.6611301434733,47.5631690095568,47.4630694328708,47.3467292793866,47.3056452734461,47.5615823669633,48.8858034314113,49.4706727951894,49.2189217589326,48.8207905599514,49.6744022727998,48.9090438324379,49.0444630003542,49.4402892696593,49.4577587187109,49.5771319811742,50.3134182862126,50.5923567617573,50.3280472315731,50.4802892842153,50.1514476268455,50.0882795343003
"Luxembourg","LUX",34.7679345991825,35.6121469659747,37.1968716923439,36.4563446140832,37.2059029071934,36.0671871924414,36.7338256120944,37.6705406771097,37.7954091759929,39.1594781375249,39.7234813183089,39.8677213682902,40.2595935055396,40.8789684578239,41.9825000373081,42.3653560616286,43.1531151991761,43.5090087175173,43.4438828560837,43.287230237272,43.4082142046744,43.8755998568979,44.2861364487086,44.2395321025775,44.1967255004378
