price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$97,100",3,1+,"2,002",,1167 Lower Ferry Rd,Ewing Township,NJ,08618,RE/MAX Tri County
"$179,900",3,1,"1,122",,244 Parkinson Ave,Hamilton Township,NJ,08610,Capital 5 Realty
"$275,000",5,3+,"2,595",3,919 Bellevue Ave,Trenton,NJ,08618,Princeton Junction
"$455,900",4,2+,"2,500",,20 Giada Ct,Hamilton,NJ,08620,RE/MAX TRI COUNTY
"$59,500",1,1,672,,31 Smith Ave,Hamilton Township,NJ,08619,Pod Real Estate
"$309,000",3,2+,"1,782",,4 Archer Ct,Hamilton Township,NJ,08619,Keller Williams Real Estate-Princeton
"$179,900",2,2,"1,446",,822 Timberlake Dr,Ewing Township,NJ,08618,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$289,500",4,2+,"1,972",2,72 Hollynoll Dr,Hamilton Township,NJ,08619,DiDonato Realty Company Inc
"$349,900",3,2,"2,052",,446 Ewingville Rd,Ewing Township,NJ,08638,"Keypoint Realty, Llc"
"$155,000",3,1,946,3,48 Klein Ave,Hamilton Township,NJ,08629,RE/MAX Tri County
"$19,900",3,1,968,,21 Monmouth Pl,Trenton,NJ,08609,"Usrealty.Com, Llp"
"$225,000",4,2+,"2,266",3,2044 Yardville Hamilton Squ Rd,Hamilton,NJ,08690,Keller Williams Realty - Moorestown
"$599,900",4,2+,"3,047",,65 Tattletown Rd,Yardville,NJ,08620,Gloria Nilson & Co. Real Estate
"$175,000",2,2,"1,491",0,Bramley,Ewing,NJ,08618,American Properties Realty
"$175,000",2,2,"1,446",0,Arlington,Ewing,NJ,08618,American Properties Realty
"$499,900",4,2+,,,1025 Yardville Allentown Rd,Yardville,NJ,08620,Gloria Nilson & Co. Real Estate
"$439,900",4,2+,"2,232",,19 Giada Ct,Hamilton,NJ,08620,RE/MAX TRI COUNTY
"$78,745",2,1+,"1,144",1,5A Iron Works Way,Trenton,NJ,08611,RE/MAX Tri County
"$525,000",4,3+,,3,351 Sawmill Rd,Hamilton,NJ,08620,KELLER WILLIAMS REALTY - West Monmouth
"$127,000",3,1+,"1,112",3,1323 Chambers St,Trenton,NJ,08610,Hamilton-Robbinsville Home Marketing Center
"$264,900",4,2+,"1,254",3,2462 Sylvan Ave,Hamilton Township,NJ,08610,RE/MAX Tri County
"$219,900",4,1+,"1,059",,36 Longwood Dr,Hamilton Township,NJ,08620,Keller Williams Realty - Moorestown
"$22,900",3,1+,"1,440",,148 Tremont St,Trenton,NJ,08611,Marlton-Voorhees Home Marketing Center
"$69,900",,,"1,812",,1610 E State St,Trenton,NJ,08609,"REOcomplete Real Estate, Inc"
"$48,000",2,1,888,,326 Emory Ave,Trenton,NJ,08611,Keller Williams Real Estate-Princeton
"$115,000",5,1+,"1,404",,431 Cuyler Ave,Trenton,NJ,08629,RE/MAX Properties-Newtown
"$119,000",3,1+,"1,200",,63 Central Ave,Hamilton Township,NJ,08618,Realty Of Princeton
"$53,000",2,1,939,,11 Jersey St,Trenton,NJ,08611,CENTURY 21 Cruse
"$225,000",4,3+,"2,432",yes,45 Livingston St,Trenton,NJ,08611,Keller Williams Realty - Moorestown
"$254,900",4,2,,2,76 Federal City Rd,Ewing Township,NJ,08638,Weidel Real Estate
"$466,375",4,2+,"2,200",,14 Giada Ct,Hamilton,NJ,08620,RE/MAX TRI COUNTY
"$74,900",2,1,860,,201 Bonnie Ave,Hamilton Township,NJ,08629,"REOcomplete Real Estate, Inc"
"$250,000",,,"1,431",3,77 Fitzrandolph Ave,Trenton,NJ,08610,SBR Realty
"$84,900",2,1,,,1043 Indiana Ave,Trenton,NJ,08638,RE/MAX TRI COUNTY
"$29,900",4,2,"1,856",,24 Sanford St,Trenton,NJ,08618,Advanced Property Solutions
"$929,900",5,4+,"4,414",3,The Windsor,Robbinsville,NJ,08691,Amleed Custom Homes
"$600,000",5,3,"2,638",3,116 Everett St,Robbinsville,NJ,08691,ERA Central Realty Group
"$269,500",4,2,"1,924",1,73 Albemarle Rd,Hamilton Township,NJ,08690,Smires
"$284,900",3,2,"1,267",,6 Rolling Ln,Hamilton Township,NJ,08690,ARC REAL ESTATE
"$145,000",4,1,"1,449",,7 Charlotte Ave,Hamilton Township,NJ,08629,RE/MAX Tri County
"$309,900",4,1+,"1,276",2,267 George Dye Rd,Hamilton Township,NJ,08690,RE/MAX Tri County
"$59,900",4,1+,"2,016",,885 Bellevue Ave,Trenton,NJ,08618,Maximum Realty Services
"$999,000",5,4+,"5,283",,70 Emerald Rd,Robbinsville,NJ,08691,Wcd Realty Llc
"$650,000",3,3+,"3,474",2,Foster,Robbinsville,NJ,08691,Sharbell Development Corp.
"$49,000",4,1,"1,470",,19 Bryn Mawr Ave,Trenton,NJ,08618,Keller Williams Real Estate-Princeton
"$15,000",,,,,1 Weinberg Pl,Trenton,NJ,08638,REMAX PROPERTIES LTD.
"$140,000",4,2,"1,394",3,40 West St,Trenton,NJ,08611,Weidel Realtors-Hamilton Square
"$244,900",4,1,"1,150",,32 Soden Dr,Hamilton Township,NJ,08620,Coldwell Banker Residential Brokerage - Princeton Junction Office
"$525,000",4,2,,2,1360 Route 130,Robbinsville,NJ,08691,Keller Williams Shore Properties
"$285,500",3,2,"1,490",yes,980 Whitehorse Hamilton Sq Rd,Hamilton Township,NJ,08610,Action USA Lambert Realtors
"$359,000",3,2,"1,914",3,3251 Nottingham Way,Hamilton Township,NJ,08619,Gloria Nilson & Co. Real Estate
"$159,500",2,1,"1,056",,61 Brook Ln,Hamilton Township,NJ,08619,Action USA Lambert Realtors
"$79,999",5,2,"2,337",,746 Centre St,Trenton,NJ,08611,Weidel Realtors-Hamilton Square
"$1,200,000",,,,,1514 Kuser Rd,Hamilton,NJ,08619,Richardson Commercial Realtors
