price,beds,baths,area_sqft,car_space_garage,street,city,district,postal,broker
"$149,900",2,1,550,,2116 Patton Rd,Toms River,NJ,08753,"Weichert, Realtors - Toms River"
"$179,900",3,1,,,13 Tilton Ave,Toms River,NJ,08757,"Weichert, Realtors - Toms River"
"$679,900",5,4+,"4,341",3,1327 Vincenzo Dr,Toms River,NJ,08753,"RE/MAX REAL ESTATE, LTD."
"$560,000",4,2+,"2,800",2,1411 Sequoia Cir,Toms River,NJ,08753,BHHS New Jersey Properties Manalapan
"$389,900",4,2+,"2,306",2,117 N Curtis Pl,Toms River,NJ,08753,"Weichert, Realtors - Forked River"
"$359,000",5,3,"2,540",2,12 Aspen Ct,Toms River,NJ,08753,RE/MAX at Barnegat Bay
"$390,000",4,3,,2,19 Winchester Dr,Toms River,NJ,08753,RE/MAX GATEWAY
"$340,000",4,2,"2,252",2,965 Mercer Dr,Toms River,NJ,08753,C21/ VALUE PLUS REALTY
"$139,900",2,1,"1,150",,37 Harley Blvd,Berkeley,NJ,08721,Pacesetter Realty
"$219,000",2,2,"1,161",1,11 Portsmouth Dr,Toms River,NJ,08757,Realmart Realty - Flat Fee to 1% Full Service
"$209,000",2,1,,1,223 Parisian Ct,Toms River,NJ,08757,Keller Williams Shore Properties
"$189,900",3,1,"1,397",,912 Harrison Rd,Toms River,NJ,08753,Paschon Realty
"$259,900",2,2,"1,232",1,40 Bimini Dr,Toms River,NJ,08757,"Weichert, Realtors - Toms River"
"$279,900",4,2,"1,718",,1709 Mohawk Dr,Toms River,NJ,08753,Home Alliance Realty
"$287,500",3,2,"1,428",1,604 Batchelor St,Toms River,NJ,08753,"RE/MAX REAL ESTATE, LTD."
"$215,000",2,2,"1,092",1,22 Roman St,Toms River,NJ,08757,ERA American Towne Realty
"$160,000",3,1,"1,234",1,1916 Jay St,Toms River,NJ,08753,RE/MAX At Barnegat Bay
"$189,900",2,2,,1,4 Millbrook Dr,Berkeley,NJ,08757,Danielle M. Sette
"$214,500",2,2,,,78 Westport Dr,Berkeley,NJ,08757,Danielle M. Sette
"$474,900",5,3+,"3,220",1,61 Woodhaven Rd,Toms River,NJ,08753,Re/Max Real Estate Ltd.
"$167,900",2,1,"1,124",1,90 Barbuda St,Toms River,NJ,08757,Crossroads Realty - Executive Office
"$189,500",2,2,,1,8 Mount Fairweather Ln,Toms River,NJ,08753,"Long & Foster, Kilbride & Cagnina Real Estate Group"
"$510,000",4,3+,"2,964",1,317 Aldo Dr,Toms River,NJ,08753,Crossroads Realty - Executive Office
"$74,900",1,1,702,,161 Harlequin Glade,Berkeley,NJ,08721,RE/MAX at Barnegat Bay
