"country_name","country_code","x1998","x1999","x2000","x2001","x2002","x2003","x2004","x2005","x2006","x2007","x2008","x2009","x2010","x2011","x2012","x2013"
"France","FRA",46748,48316,50465,52618,55844,57356,46573,49154,53352,54611,46076,52946,57174,60135,63713,84059
"Gabon","GAB",2796,2870,3063,3221,3650,4232,4184,4429,4838,5120,5596,5870,6521,6940,6566,5946
"Gambia, The","GMB",922,817,760,899,890,1019,1106,1095,1143,1126,1079,1252,1029,1297,1230,1297
"Georgia","GEO",3857,3902,4367,4654,5270,6069,6781,7374,7556,8236,8329,8837,8736,8452,9966,9905
"Germany","DEU",52063,53333,54673,56789,58285,63771,57564,64213,70750,78222,83023,92753,104853,113795,117691,119123
"Ghana","GHA",4084,4219,4654,4925,5951,7036,8146,8355,7968,7697,7741,7811,8093,8871,8799,8850
"Greece","GRC",62059,66951,63676,61730,55162,50531,47352,41687,34452,31985,28590,28864,29226,29382,34140,34029
"Guatemala","GTM",1364,1361,1447,1927,2234,2363,2380,2443,2459,2749,2906,2782,2883,2381,2778,2820
"Guinea","GIN",1844,1785,1977,2202,2326,3000,2812,3135,3848,4209,4532,4621,5712,6227,6080,5656
"Guinea-Bissau","GNB",735,735,740,741,590,715,743,750,893,1128,1238,1336,1515,1550,1485,1491
"Guyana","GUY",655,664,742,644,667,1047,1091,1116,1101,1433,1428,1593,831,1657,1530,1444
"Haiti","HTI",8536,8569,8519,9190,9527,9752,9872,10117,11109,11356,11013,10417,10618,11019,10755,10125
"Honduras","HND",1136,1140,1776,1684,1890,1951,2065,2308,2098,2577,2563,2702,2955,2252,3109,3343
"Hong Kong SAR, China","HKG",31872,33625,25347,27848,31510,34814,33762,33892,31407,33126,33616,33129,32767,31286,30739,31825
"Hungary","HUN",6657,6464,6958,7373,7915,8248,7525,7579,7103,7184,6997,7495,8062,8093,7848,8515
"Iceland","ISL",2400,2434,2464,2469,2989,3012,2237,2334,2431,2489,2390,2634,2797,2697,2751,2834
"India","IND",54384,55436,62342,74268,100288,118924,133849,146033,145539,161492,183646,203217,208723,204246,188791,181872
"Indonesia","IDN",28278,29930,34759,36108,39640,39693,34061,32745,31040,33741,35005,36471,37175,36559,35785,39098
"Iran, Islamic Rep.","IRN",23285,23055,21701,20489,20927,21741,23081,24633,24009,28631,32259,39153,44152,49564,51071,50053
"Iraq","IRQ",4952,4915,4987,5080,5073,5282,4299,5492,6896,7983,9301,10553,12583,13147,14310,16039
"Ireland","IRL",19624,19411,17822,15598,15380,15987,17540,19182,19911,19412,17991,18432,20009,20546,18541,16302
"Israel","ISR",9991,10305,14004,16028,12356,12107,10680,11804,12026,12354,13291,13334,13630,13985,14414,14732
"Italy","ITA",38801,39657,41510,42271,42162,43470,35008,34391,29942,31391,31764,36117,40350,43799,47514,47998
